incident_id,opened_on,site_code,site_name,region,workstream,category,severity,resolution_hours,impacted_units,impacted_orders,owner_team
INC-0000001,2025-01-01,CHI-02,Chicago Distribution Campus,North America,Returns,Equipment reliability,low,26.7,15,5,Site Leadership
INC-0000002,2025-01-01,MEX-01,Monterrey Export Gateway,Latin America,Inbound,Supplier quality,medium,23.7,7,9,Site Leadership
INC-0000003,2025-01-02,CHI-02,Chicago Distribution Campus,North America,Fulfillment,Equipment reliability,low,27.5,28,7,Site Leadership
INC-0000004,2025-01-02,DXB-01,Dubai Regional Gateway,Middle East,Fulfillment,Inventory variance,critical,33.7,29,13,Operations Excellence
INC-0000005,2025-01-03,JHB-01,Johannesburg Service Hub,Africa,Inbound,Process discipline,critical,35.2,13,7,Operations Excellence
INC-0000006,2025-01-04,CHI-02,Chicago Distribution Campus,North America,Returns,Supplier quality,low,5.9,4,10,Site Leadership
INC-0000007,2025-01-04,MEX-01,Monterrey Export Gateway,Latin America,Returns,Staffing instability,high,25.9,8,12,Operations Excellence
INC-0000008,2025-01-04,MEX-01,Monterrey Export Gateway,Latin America,Inbound,Process discipline,low,11.2,14,8,Site Leadership
INC-0000009,2025-01-04,DXB-01,Dubai Regional Gateway,Middle East,Inbound,Inventory variance,low,19.1,10,4,Site Leadership
INC-0000010,2025-01-04,BLR-01,Bengaluru Fulfillment Center,Asia Pacific,Inbound,Equipment reliability,low,23.6,23,4,Site Leadership
INC-0000011,2025-01-04,BLR-01,Bengaluru Fulfillment Center,Asia Pacific,Returns,Supplier quality,high,12.2,10,5,Operations Excellence
INC-0000012,2025-01-04,SYD-01,Sydney Service Campus,Asia Pacific,Kitting,Supplier quality,medium,27.1,8,10,Site Leadership
INC-0000013,2025-01-05,CHI-02,Chicago Distribution Campus,North America,Kitting,Equipment reliability,medium,5.8,4,5,Site Leadership
INC-0000014,2025-01-05,MEX-01,Monterrey Export Gateway,Latin America,Kitting,Equipment reliability,medium,8.3,4,7,Site Leadership
INC-0000015,2025-01-05,SIN-01,Singapore Control Tower,Asia Pacific,Returns,Inventory variance,low,4.6,7,1,Site Leadership
INC-0000016,2025-01-06,DAL-03,Dallas Omni-Channel Hub,North America,Inbound,Process discipline,low,9.1,21,2,Site Leadership
INC-0000017,2025-01-06,DAL-03,Dallas Omni-Channel Hub,North America,Returns,Supplier quality,medium,6.3,18,7,Site Leadership
INC-0000018,2025-01-06,MAD-02,Madrid Service Center,Europe,Returns,Supplier quality,low,19.0,7,2,Site Leadership
INC-0000019,2025-01-06,SIN-01,Singapore Control Tower,Asia Pacific,Kitting,Equipment reliability,low,14.5,6,6,Site Leadership
INC-0000020,2025-01-06,SYD-01,Sydney Service Campus,Asia Pacific,Returns,Staffing instability,medium,24.4,6,5,Site Leadership
INC-0000021,2025-01-07,DAL-03,Dallas Omni-Channel Hub,North America,Returns,Process discipline,low,11.7,23,4,Site Leadership
INC-0000022,2025-01-07,LHR-03,Milton Keynes Network Center,Europe,Inbound,Supplier quality,medium,15.6,14,10,Site Leadership
INC-0000023,2025-01-08,DAL-03,Dallas Omni-Channel Hub,North America,Returns,Process discipline,high,26.3,11,7,Operations Excellence
INC-0000024,2025-01-09,JHB-01,Johannesburg Service Hub,Africa,Returns,Inventory variance,critical,21.7,9,14,Operations Excellence
INC-0000025,2025-01-09,SYD-01,Sydney Service Campus,Asia Pacific,Kitting,Carrier exception,low,12.1,7,3,Site Leadership
INC-0000026,2025-01-10,CHI-02,Chicago Distribution Campus,North America,Inbound,Carrier exception,low,4.4,18,7,Site Leadership
INC-0000027,2025-01-10,MEX-01,Monterrey Export Gateway,Latin America,Returns,Carrier exception,high,12.8,7,5,Operations Excellence
INC-0000028,2025-01-11,LHR-03,Milton Keynes Network Center,Europe,Returns,Inventory variance,low,11.1,9,4,Site Leadership
INC-0000029,2025-01-11,JHB-01,Johannesburg Service Hub,Africa,Kitting,Supplier quality,medium,15.4,6,4,Site Leadership
INC-0000030,2025-01-12,LHR-03,Milton Keynes Network Center,Europe,Fulfillment,Carrier exception,low,20.5,26,10,Site Leadership
INC-0000031,2025-01-12,JHB-01,Johannesburg Service Hub,Africa,Inbound,Carrier exception,low,27.3,12,3,Site Leadership
INC-0000032,2025-01-12,JHB-01,Johannesburg Service Hub,Africa,Returns,Inventory variance,high,25.4,8,11,Operations Excellence
INC-0000033,2025-01-13,ATL-01,Atlanta Fulfillment Center,North America,Returns,Equipment reliability,medium,8.4,16,10,Site Leadership
INC-0000034,2025-01-13,LHR-03,Milton Keynes Network Center,Europe,Returns,Supplier quality,low,23.7,10,3,Site Leadership
INC-0000035,2025-01-13,SYD-01,Sydney Service Campus,Asia Pacific,Returns,Inventory variance,low,22.9,8,4,Site Leadership
INC-0000036,2025-01-14,MAD-02,Madrid Service Center,Europe,Fulfillment,Inventory variance,low,4.1,27,5,Site Leadership
INC-0000037,2025-01-14,SYD-01,Sydney Service Campus,Asia Pacific,Returns,Inventory variance,low,17.8,6,2,Site Leadership
INC-0000038,2025-01-15,DAL-03,Dallas Omni-Channel Hub,North America,Fulfillment,Process discipline,low,24.9,28,6,Site Leadership
INC-0000039,2025-01-16,DAL-03,Dallas Omni-Channel Hub,North America,Fulfillment,Inventory variance,low,18.4,22,4,Site Leadership
INC-0000040,2025-01-16,MAD-02,Madrid Service Center,Europe,Kitting,Carrier exception,medium,8.7,10,5,Site Leadership
INC-0000041,2025-01-16,DXB-01,Dubai Regional Gateway,Middle East,Kitting,Equipment reliability,low,23.5,11,3,Site Leadership
INC-0000042,2025-01-16,BLR-01,Bengaluru Fulfillment Center,Asia Pacific,Fulfillment,Process discipline,low,11.1,41,7,Site Leadership
INC-0000043,2025-01-17,BLR-01,Bengaluru Fulfillment Center,Asia Pacific,Inbound,Equipment reliability,low,25.2,32,6,Site Leadership
INC-0000044,2025-01-18,CHI-02,Chicago Distribution Campus,North America,Kitting,Process discipline,low,7.1,4,4,Site Leadership
INC-0000045,2025-01-18,MAD-02,Madrid Service Center,Europe,Fulfillment,Carrier exception,low,25.6,9,6,Site Leadership
INC-0000046,2025-01-19,MEX-01,Monterrey Export Gateway,Latin America,Inbound,Carrier exception,high,16.6,6,8,Operations Excellence
INC-0000047,2025-01-19,JHB-01,Johannesburg Service Hub,Africa,Inbound,Staffing instability,critical,15.7,4,11,Operations Excellence
INC-0000048,2025-01-19,SYD-01,Sydney Service Campus,Asia Pacific,Kitting,Supplier quality,medium,21.7,7,3,Site Leadership
INC-0000049,2025-01-20,MEX-01,Monterrey Export Gateway,Latin America,Returns,Supplier quality,high,24.6,11,7,Operations Excellence
INC-0000050,2025-01-20,JHB-01,Johannesburg Service Hub,Africa,Returns,Process discipline,critical,31.1,7,9,Operations Excellence
INC-0000051,2025-01-20,BLR-01,Bengaluru Fulfillment Center,Asia Pacific,Returns,Supplier quality,medium,16.4,9,5,Site Leadership
INC-0000052,2025-01-20,SIN-01,Singapore Control Tower,Asia Pacific,Kitting,Staffing instability,low,21.6,3,7,Site Leadership
INC-0000053,2025-01-21,MAD-02,Madrid Service Center,Europe,Fulfillment,Inventory variance,low,15.6,14,10,Site Leadership
INC-0000054,2025-01-23,ATL-01,Atlanta Fulfillment Center,North America,Kitting,Supplier quality,low,19.1,18,9,Site Leadership
INC-0000055,2025-01-23,DAL-03,Dallas Omni-Channel Hub,North America,Returns,Supplier quality,low,5.4,18,5,Site Leadership
INC-0000056,2025-01-23,LHR-03,Milton Keynes Network Center,Europe,Fulfillment,Process discipline,low,9.4,39,2,Site Leadership
INC-0000057,2025-01-23,DXB-01,Dubai Regional Gateway,Middle East,Inbound,Staffing instability,low,24.2,9,4,Site Leadership
INC-0000058,2025-01-23,DXB-01,Dubai Regional Gateway,Middle East,Kitting,Inventory variance,critical,35.4,6,14,Operations Excellence
INC-0000059,2025-01-23,SYD-01,Sydney Service Campus,Asia Pacific,Returns,Carrier exception,medium,27.8,13,4,Site Leadership
INC-0000060,2025-01-24,MAD-02,Madrid Service Center,Europe,Returns,Supplier quality,critical,23.5,13,7,Operations Excellence
INC-0000061,2025-01-24,SIN-01,Singapore Control Tower,Asia Pacific,Fulfillment,Process discipline,high,12.8,23,10,Operations Excellence
INC-0000062,2025-01-25,DXB-01,Dubai Regional Gateway,Middle East,Inbound,Staffing instability,low,26.8,16,4,Site Leadership
INC-0000063,2025-01-26,MEX-01,Monterrey Export Gateway,Latin America,Inbound,Process discipline,low,9.8,13,2,Site Leadership
INC-0000064,2025-01-26,FRA-01,Frankfurt Regional Hub,Europe,Returns,Supplier quality,high,20.0,10,9,Operations Excellence
